Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
nissan sentra,2022,15032.84,16368.86,43193,Diesel,Dealer,Manual,1
chevrolet camaro,2019,7313.98,7998.11,81897,Diesel,Individual,Manual,1
audi a8,2018,7614.05,8455.76,56005,Petrol,Individual,Manual,0
mercedes gla,2018,8221.86,10019.31,142112,Diesel,Individual,Manual,1
chevrolet silverado,2012,1490.21,1715.29,201545,Petrol,Dealer,Manual,1
nissan sentra,2018,4363.89,5187.65,110067,Diesel,Individual,Manual,1
gmc acadia,2022,11465.79,12671.3,19385,Diesel,Dealer,Automatic,1
toyota tacoma,2010,1652.45,1940.94,128203,Diesel,Individual,Manual,0
tata nexon,2016,3723.14,4387.65,109045,Diesel,Dealer,Automatic,0
chevrolet traverse,2016,3059.12,3729.89,104392,Petrol,Dealer,Manual,1
hyundai venue,2022,3810.98,3963.72,37566,Diesel,Dealer,Automatic,0
bmw 2 series,2018,11974.19,13509.63,114362,Diesel,Dealer,Automatic,0
mercedes glc,2010,1277.67,1647.78,303518,Petrol,Dealer,Manual,0
kia sonet,2015,6226.02,7174.46,157235,Petrol,Dealer,Automatic,0
mahindra marazzo,2019,2317.37,2680.81,42169,Diesel,Dealer,Manual,0
gmc acadia,2023,11812.25,12596.75,9746,Petrol,Dealer,Manual,0
nissan rogue,2019,10852.01,13691.37,100971,Diesel,Dealer,Manual,0
ford mustang,2021,18235.84,20680.5,38934,Diesel,Dealer,Manual,3
honda cr-v,2018,8150.7,10167.01,119680,Diesel,Dealer,Manual,0
hyundai i20,2018,5715.86,6677.42,139239,Petrol,Dealer,Manual,0
gmc sierra,2015,2991.49,3584.29,187582,Diesel,Individual,Manual,0
hyundai i10,2011,1646.2,2023.95,230632,Petrol,Dealer,Manual,0
honda hr-v,2019,7148.8,8545.31,115338,Petrol,Dealer,Manual,0
chevrolet malibu,2012,986.49,1248.63,114829,Petrol,Individual,Manual,1
volkswagen tiguan,2015,2016.6,2752.26,158669,Petrol,Individual,Manual,2
mahindra marazzo,2021,2972.53,3474.23,56360,Diesel,Dealer,Manual,1
audi q8,2020,25189.76,31269.35,96274,Petrol,Individual,Manual,2
honda pilot,2021,6236.35,7510.32,33890,Petrol,Dealer,Manual,2
mahindra scorpio,2020,7174.31,7414.85,38507,Petrol,Individual,Automatic,1
chevrolet malibu,2009,737.68,868.06,333400,Diesel,Individual,Automatic,1
maruti celerio,2019,3072.64,3629.22,105853,Petrol,Dealer,Manual,1
ford f-150,2022,19877.07,21815.5,8740,Petrol,Dealer,Automatic,0
tata hexa,2022,3609.12,3874.15,35941,Diesel,Dealer,Automatic,0
ford f-150,2023,17669.94,20217.86,22317,Diesel,Dealer,Manual,2
nissan maxima,2018,9562.44,11238.26,149190,Diesel,Dealer,Automatic,1
gmc acadia,2017,4727.01,5283.14,66007,Petrol,Dealer,Automatic,2
hyundai kona,2019,6423.0,7474.26,46901,Diesel,Individual,Manual,0
nissan armada,2019,6490.92,7180.54,86415,Diesel,Dealer,Automatic,2
bmw x3,2014,15889.96,20164.79,239704,Diesel,Individual,Manual,0
maruti wagonr,2013,895.16,1182.79,237812,Petrol,Dealer,Manual,2
audi a6,2019,18462.06,19645.73,84359,Petrol,Individual,Manual,1
mazda cx-9,2019,6312.66,6677.06,46861,Diesel,Dealer,Manual,0
honda pilot,2019,3360.7,3939.18,87378,Petrol,Individual,Manual,2
mazda mazda3,2012,3735.71,4260.3,269416,Diesel,Dealer,Automatic,1
nissan altima,2023,11190.2,14030.58,10686,CNG,Individual,Manual,2
honda cr-v,2009,452.24,556.71,287391,Diesel,Dealer,Automatic,0
audi q5,2021,30891.66,32263.46,58090,Diesel,Individual,Automatic,0
volkswagen atlas,2017,7851.02,8680.17,81478,Petrol,Dealer,Manual,0
mahindra bolero,2011,343.1,390.11,203102,Diesel,Individual,Automatic,0
toyota sequoia,2018,13670.17,14914.39,47394,Petrol,Dealer,Automatic,0
ford f-150,2021,5159.77,5996.09,45408,Petrol,Individual,Automatic,2
ford edge,2019,8825.75,10335.59,60507,Diesel,Individual,Automatic,2
kia sportage,2019,7855.19,9716.65,103727,Petrol,Individual,Manual,0
nissan versa,2017,1793.66,2279.78,144448,Petrol,Dealer,Manual,2
mahindra xuv500,2018,6165.55,7124.71,49467,Petrol,Individual,Manual,0
maruti vitara brezza,2020,1612.27,1812.8,81834,Petrol,Dealer,Manual,1
audi a6,2020,19242.22,21221.18,70154,Diesel,Dealer,Automatic,0
mercedes s-class,2018,16485.28,18654.04,82385,Petrol,Dealer,Manual,0
tata tigor,2019,2869.65,3330.49,71767,Diesel,Dealer,Manual,0
hyundai aura,2017,2012.86,2362.33,134181,Petrol,Dealer,Automatic,0
gmc canyon,2016,520.84,607.25,140093,Diesel,Dealer,Manual,0
maruti vitara brezza,2010,726.22,874.69,269172,Petrol,Dealer,Manual,0
honda ridgeline,2019,4900.11,5724.31,33754,Petrol,Dealer,Manual,1
volkswagen arteon,2013,1482.23,1871.18,125738,Petrol,Dealer,Automatic,1
gmc yukon,2008,329.89,408.62,195326,Petrol,Individual,Automatic,1
kia sorento,2018,8712.75,9066.79,84388,Diesel,Dealer,Automatic,0
audi a4,2012,3094.03,3930.62,233211,Petrol,Individual,Manual,2
toyota tacoma,2016,3902.12,4819.48,157889,Petrol,Dealer,Manual,0
mercedes s-class,2019,16754.82,18783.79,84305,Petrol,Dealer,Manual,1
volkswagen atlas,2019,5527.29,7318.47,103390,Diesel,Individual,Manual,2
volkswagen arteon,2014,3683.34,4390.84,233826,Petrol,Dealer,Manual,0
mazda cx-3,2020,5908.01,6720.56,49135,Petrol,Dealer,Manual,0
mahindra xuv500,2018,5198.07,6353.98,74071,Diesel,Dealer,Manual,2
hyundai grand i10,2020,6393.38,6802.96,78731,Petrol,Individual,Automatic,0
mahindra thar,2021,9519.16,10618.56,61176,Petrol,Dealer,Manual,0
hyundai venue,2019,3533.12,3773.27,95008,Petrol,Dealer,Manual,1
maruti dzire,2017,3656.93,4395.04,111837,Petrol,Dealer,Automatic,3
mahindra bolero,2022,7868.22,9044.3,28043,Petrol,Dealer,Manual,0
gmc canyon,2015,1019.99,1235.8,157223,Petrol,Dealer,Manual,0
mazda mazda2,2018,5460.99,6677.5,60719,Diesel,Individual,Manual,3
volkswagen jetta,2015,5203.96,6563.66,210451,CNG,Dealer,Automatic,0
mazda cx-3,2015,2579.52,3235.47,190052,Diesel,Dealer,Manual,2
bmw 5 series,2016,4618.93,5902.48,111399,Petrol,Individual,Automatic,2
volkswagen golf,2016,3694.07,4316.15,124102,Petrol,Individual,Manual,0
tata altroz,2021,2455.79,2832.3,44010,Petrol,Dealer,Manual,1
mazda cx-5,2023,11165.08,12799.18,22629,Petrol,Dealer,Manual,1
kia telluride,2019,5828.23,7633.01,117729,Petrol,Dealer,Manual,2
honda insight,2014,2597.07,3280.24,165545,Diesel,Dealer,Manual,1
mercedes glc,2013,4799.44,6017.59,224938,Petrol,Dealer,Manual,0
maruti vitara brezza,2017,1741.48,2060.58,140576,Petrol,Dealer,Manual,0
mercedes glc,2017,18355.03,20774.46,158796,Diesel,Dealer,Automatic,0
kia sportage,2016,1981.78,2343.49,104125,Petrol,Dealer,Manual,1
honda ridgeline,2021,16179.1,18130.72,53782,Petrol,Dealer,Manual,3
toyota tacoma,2022,12889.54,14969.37,29734,Diesel,Dealer,Manual,1
tata hexa,2022,11960.63,12637.46,19443,Petrol,Individual,Manual,0
mazda mx-5,2016,3420.37,4530.06,128120,CNG,Individual,Automatic,3
hyundai kona,2015,1954.58,2207.04,80184,Petrol,Dealer,Manual,1
chevrolet colorado,2010,1166.09,1478.26,338716,Petrol,Individual,Manual,1
volkswagen passat,2012,1685.31,2157.04,159782,Diesel,Individual,Manual,0
mahindra bolero,2015,2509.42,3410.46,187008,Diesel,Individual,Manual,2
mahindra kuv100,2020,1956.47,2391.12,77524,Diesel,Dealer,Manual,3
audi a8,2018,10263.17,12811.16,127267,Petrol,Dealer,Manual,1
tata altroz,2019,1663.26,2053.42,104003,Petrol,Individual,Automatic,0
gmc sierra,2018,4681.82,5752.32,116651,Petrol,Dealer,Automatic,1
hyundai i10,2008,301.54,374.28,335745,Diesel,Dealer,Manual,1
chevrolet blazer,2014,2451.77,2949.56,109040,Petrol,Dealer,Manual,1
toyota avalon,2021,13191.21,13919.08,47327,Diesel,Dealer,Manual,0
nissan altima,2019,11445.53,12540.93,54182,Diesel,Individual,Manual,1
mercedes gla,2020,12213.03,14361.79,45125,Diesel,Individual,Manual,2
audi q5,2019,15237.31,17853.35,123389,Diesel,Individual,Manual,1
gmc sierra,2018,2776.23,3377.78,109964,Petrol,Individual,Manual,1
maruti xl6,2022,12129.06,12578.46,40991,Petrol,Individual,Automatic,1
mercedes gle,2012,4599.29,5812.41,177093,Petrol,Dealer,Manual,0
chevrolet traverse,2017,5849.37,7001.81,160594,Petrol,Individual,Manual,0
honda civic,2020,12001.69,13522.15,41811,Petrol,Individual,Manual,1
maruti xl6,2023,14282.54,15329.57,6008,Petrol,Dealer,Manual,1
toyota camry,2020,8715.49,10074.36,61742,CNG,Dealer,Manual,1
honda fit,2014,1079.07,1309.58,221023,Petrol,Individual,Manual,0
tata tigor,2015,2657.72,3571.45,190894,Diesel,Dealer,Manual,3
mazda cx-3,2008,738.26,884.99,158266,Petrol,Dealer,Automatic,1
honda passport,2011,997.63,1173.08,176142,Petrol,Dealer,Manual,1
volkswagen passat,2011,715.04,874.15,175243,Petrol,Dealer,Manual,1
volkswagen atlas,2018,3347.51,4049.06,57107,Petrol,Dealer,Manual,2
kia carnival,2015,1759.68,2223.32,200673,Diesel,Dealer,Automatic,3
maruti ertiga,2020,2986.4,3422.2,49655,Petrol,Dealer,Automatic,1
volkswagen golf,2015,4856.02,5616.7,214303,Diesel,Individual,Automatic,0
hyundai verna,2021,9149.34,10069.47,48511,Diesel,Dealer,Automatic,0
tata hexa,2018,5378.0,6820.48,121773,Diesel,Dealer,Manual,2
mahindra xuv300,2019,3227.4,3669.0,58545,Petrol,Dealer,Automatic,0
toyota avalon,2021,6624.4,7684.48,25123,Diesel,Individual,Manual,2
mercedes gle,2016,22460.85,25546.01,88061,Petrol,Dealer,Manual,0
mercedes glc,2021,27321.81,33877.38,57778,CNG,Individual,Manual,2
mazda cx-3,2014,2330.41,2598.08,99842,Diesel,Dealer,Automatic,0
ford escape,2010,1572.87,2080.01,319689,Petrol,Dealer,Automatic,2
kia soul,2017,6799.32,7181.86,89632,Petrol,Dealer,Manual,1
nissan altima,2010,2462.02,2876.46,346452,Diesel,Dealer,Automatic,0
mazda mx-5,2013,1926.04,2282.76,272457,Diesel,Dealer,Manual,1
mahindra scorpio,2017,788.38,1011.7,171719,Petrol,Individual,Manual,0
nissan kicks,2023,6650.55,7165.82,6601,Petrol,Dealer,Manual,1
gmc acadia,2012,2120.66,2613.93,164712,Diesel,Dealer,Manual,2
ford f-150,2012,1775.71,2145.05,171805,Diesel,Individual,Manual,0
volkswagen vento,2022,18541.31,20456.9,40383,Petrol,Individual,Automatic,1
tata tigor,2015,987.3,1128.49,89168,Petrol,Dealer,Manual,0
toyota tacoma,2016,5239.17,5980.02,170463,Diesel,Individual,Automatic,0
ford bronco,2013,3211.42,3799.98,126793,Diesel,Individual,Automatic,1
tata tiago,2016,844.73,1119.12,191587,Petrol,Dealer,Automatic,2
mazda cx-5,2011,3320.05,4250.84,225211,Petrol,Dealer,Manual,0
kia sonet,2016,6969.83,7976.37,72985,Petrol,Dealer,Manual,0
audi q7,2016,13379.47,16436.07,140712,Petrol,Individual,Manual,1
audi q7,2013,3851.02,5152.31,267277,CNG,Dealer,Manual,0
gmc yukon,2016,2203.61,2859.92,106393,Diesel,Dealer,Manual,0
ford f-150,2011,3072.37,3671.68,232226,Petrol,Individual,Automatic,0
bmw 7 series,2014,3532.09,4331.1,227864,Petrol,Dealer,Manual,1
toyota land cruiser,2024,13547.15,16113.21,100,Petrol,Individual,Automatic,2
nissan pathfinder,2020,7952.36,8873.4,44338,Petrol,Dealer,Manual,2
hyundai tucson,2012,627.66,763.89,261822,Diesel,Individual,Manual,0
kia soul,2018,5213.08,6119.17,81754,Petrol,Dealer,Manual,1
honda cr-v,2019,2751.14,3161.66,87000,Petrol,Individual,Manual,2
mahindra thar,2015,1834.16,2221.74,114788,Diesel,Dealer,Automatic,1
volkswagen passat,2016,8756.9,10068.08,159383,Diesel,Individual,Manual,1
nissan altima,2016,2965.63,3341.37,150978,Petrol,Dealer,Automatic,1
gmc terrain,2018,4827.91,5622.3,113199,Diesel,Dealer,Manual,1
honda insight,2014,3248.1,3851.28,163541,Petrol,Individual,Manual,1
hyundai tucson,2017,4399.62,5293.51,79119,CNG,Individual,Manual,1
tata hexa,2017,3979.39,4748.77,122473,Petrol,Individual,Automatic,1
bmw x3,2020,9661.62,10521.88,51401,Petrol,Dealer,Manual,0
audi a4,2018,23613.99,25126.32,57554,Diesel,Dealer,Manual,0
toyota rav4,2018,3974.57,4952.82,131223,Diesel,Individual,Manual,1
toyota tacoma,2010,612.88,790.2,242169,Diesel,Dealer,Manual,0
ford focus,2017,7610.52,9408.46,133538,Petrol,Dealer,Manual,3
kia soul,2020,11048.13,12480.54,30763,Petrol,Individual,Manual,1
mazda mx-5,2020,15648.41,17352.79,36080,Diesel,Dealer,Automatic,0
hyundai elantra,2018,4831.35,5972.79,57272,Diesel,Dealer,Manual,2
honda fit,2020,6122.75,6940.04,94967,Diesel,Dealer,Automatic,0
chevrolet traverse,2020,8940.31,9594.4,58605,Diesel,Dealer,Manual,0
tata hexa,2016,2256.67,2768.37,106889,Petrol,Individual,Manual,1
mazda cx-30,2019,7443.1,8182.19,88347,Petrol,Dealer,Automatic,0
bmw x7,2010,3319.86,4235.22,277617,CNG,Dealer,Manual,1
hyundai grand i10,2014,1161.27,1409.97,207521,Petrol,Dealer,Automatic,2
gmc terrain,2021,7082.5,8264.88,73576,Diesel,Dealer,Manual,0
mazda cx-9,2014,2310.3,2584.48,79130,Petrol,Individual,Automatic,1
mercedes e-class,2013,10205.06,12909.6,170161,Diesel,Dealer,Automatic,1
honda fit,2012,4658.04,5832.73,212901,Petrol,Dealer,Manual,3
honda insight,2008,831.28,1000.67,353349,Petrol,Individual,Manual,1
chevrolet blazer,2020,9147.49,10617.38,51875,CNG,Individual,Automatic,1
volkswagen vento,2018,8930.29,10563.15,122356,Diesel,Dealer,Manual,0
bmw x3,2022,15433.26,16730.81,33494,Diesel,Dealer,Manual,0
toyota camry,2024,30650.74,31688.6,100,Petrol,Individual,Automatic,1
gmc terrain,2020,3490.95,3731.17,42123,Diesel,Dealer,Manual,0
tata punch,2022,8634.28,9141.94,48300,Diesel,Individual,Automatic,0
kia carnival,2019,12021.72,13702.7,35883,Diesel,Dealer,Manual,0
bmw 2 series,2016,16641.61,20410.89,183096,Petrol,Dealer,Manual,1
ford bronco,2019,15273.19,16407.12,52047,Petrol,Dealer,Manual,0
volkswagen polo,2020,13581.22,14404.34,71341,Diesel,Individual,Automatic,0
ford fusion,2017,2700.48,2940.93,83507,Petrol,Dealer,Automatic,0
toyota tacoma,2017,5986.56,7457.18,106888,Diesel,Dealer,Manual,2
toyota sequoia,2017,3257.39,3507.62,73551,Diesel,Dealer,Manual,0
mazda cx-9,2013,1990.97,2429.99,111331,Diesel,Dealer,Manual,1
kia telluride,2022,13139.04,14941.24,14550,Diesel,Individual,Manual,1
toyota corolla,2018,6972.45,7360.13,93318,Petrol,Dealer,Automatic,0
gmc yukon,2021,8111.75,10116.81,51089,Petrol,Dealer,Manual,2
nissan maxima,2014,1810.86,2189.82,112753,Petrol,Dealer,Manual,0
volkswagen polo,2019,5079.74,5828.64,57638,Diesel,Dealer,Manual,0
tata punch,2012,1256.22,1445.84,254156,Diesel,Individual,Manual,1
mercedes a-class,2023,39791.59,44737.21,11693,Petrol,Dealer,Manual,1
honda passport,2020,5032.98,5336.26,75081,Diesel,Dealer,Manual,1
ford fusion,2019,6924.45,7765.93,79504,Diesel,Dealer,Manual,1
gmc acadia,2014,717.33,755.62,75963,Petrol,Dealer,Manual,0
mahindra kuv100,2019,2299.39,2531.6,72462,Diesel,Dealer,Automatic,0
kia telluride,2014,1220.93,1518.82,190544,Diesel,Dealer,Automatic,0
mazda mx-5,2018,2696.8,3040.19,102541,Petrol,Individual,Automatic,1
toyota sequoia,2008,1003.44,1281.89,151682,Petrol,Dealer,Manual,2
tata harrier,2022,12678.43,14524.06,19894,Petrol,Dealer,Manual,1
toyota sequoia,2014,1006.25,1185.4,215678,Diesel,Individual,Automatic,0
chevrolet traverse,2017,2370.12,2891.32,111354,Diesel,Dealer,Manual,0
bmw x3,2018,12938.83,15151.68,143486,Diesel,Dealer,Manual,0
maruti swift,2013,855.98,1048.42,212887,Petrol,Dealer,Manual,1
maruti xl6,2021,4571.02,5340.68,65078,Diesel,Individual,Manual,0
toyota corolla,2012,2443.32,2887.82,176993,Diesel,Individual,Automatic,0
hyundai grand i10,2013,1134.18,1421.05,228897,Diesel,Dealer,Manual,0
hyundai i20,2015,3142.82,3702.62,149888,Diesel,Dealer,Manual,1
gmc terrain,2016,3151.16,3848.45,157003,CNG,Dealer,Automatic,1
chevrolet silverado,2014,4748.64,6151.43,146865,Diesel,Individual,Manual,0
toyota avalon,2012,1642.18,1996.15,258941,Diesel,Individual,Automatic,1
nissan pathfinder,2014,2881.19,3344.58,203238,Diesel,Dealer,Automatic,1
tata tigor,2018,5432.39,6452.45,134586,Petrol,Dealer,Manual,0
honda ridgeline,2021,15255.62,17941.84,46340,Diesel,Dealer,Manual,0
gmc yukon,2016,2011.23,2274.31,94156,Petrol,Dealer,Manual,0
gmc terrain,2016,2752.31,3376.25,175118,Petrol,Dealer,Manual,1
kia sorento,2016,3318.47,3879.87,161396,Petrol,Dealer,Automatic,1
hyundai aura,2022,6532.23,7483.32,50296,Diesel,Individual,Manual,2
mahindra alturas,2015,1473.04,1840.41,114307,Petrol,Individual,Manual,0
volkswagen tiguan,2021,9710.95,10431.7,54345,Petrol,Individual,Manual,1
chevrolet tahoe,2021,14333.5,16011.22,31492,Diesel,Dealer,Automatic,1
toyota land cruiser,2009,2396.6,2996.11,187940,Diesel,Dealer,Automatic,0
mahindra bolero,2021,10886.61,12439.26,59264,Diesel,Dealer,Manual,0
